message,label
मम्मी ने दवाई लाने को कहा है।,ham
"You've won a lottery of ₹1,00,000. Claim now!",scam
जूते पर 60% की छूट!,spam
इस कोड से फ्री रिचार्ज पाएं।,spam
क्लास कब खत्म होगी?,ham
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
We detected unusual activity. Click to secure your account.,fraud
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
क्या आज मिल सकते हैं?,ham
Call me when you're done.,ham
ক্লাস কখন শেষ হবে?,ham
আমার সাথে একটু দেখা করবি?,ham
"You've won a lottery of ₹1,00,000. Claim now!",scam
We detected unusual activity. Click to secure your account.,fraud
Hurry! Limited-time offer on electronics.,spam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
"Work from home and earn ₹50,000 per week.",scam
দয়া করে আপনার KYC আপডেট করুন।,fraud
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
जूते पर 60% की छूट!,spam
क्या आज मिल सकते हैं?,ham
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
দয়া করে আপনার KYC আপডেট করুন।,fraud
Call me when you're done.,ham
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
Hurry! Limited-time offer on electronics.,spam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
Your bank account is at risk. Verify now.,fraud
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
"You've won a lottery of ₹1,00,000. Claim now!",scam
Your bank account is at risk. Verify now.,fraud
আমার সাথে একটু দেখা করবি?,ham
यह ऑफर सीमित समय के लिए है।,spam
We detected unusual activity. Click to secure your account.,fraud
यह ऑफर सीमित समय के लिए है।,spam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
আমার সাথে একটু দেখা করবি?,ham
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
"সীমিত সময়ের অফার, মিস করবেন না!",spam
Call me when you're done.,ham
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
क्लास कब खत्म होगी?,ham
দয়া করে আপনার KYC আপডেট করুন।,fraud
Are you free for dinner tonight?,ham
Hurry! Limited-time offer on electronics.,spam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
Call me when you're done.,ham
Are you free for dinner tonight?,ham
Get free recharge using this code.,spam
Your bank account is at risk. Verify now.,fraud
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
